gpu_mem_free,gpu_util,queue_len,model_size,batch_size,seq_len,latency
20.384937375788844,97.43426564334027,9,11.283571714083978,16,871,80.21163866941549
51.43152721769276,85.08920760207518,7,14.849061973164215,1,1470,54.20065363047017
47.89315502216931,26.07986352623497,7,14.388513113010147,26,315,52.00016494480231
59.906881171009346,43.40325508193248,9,16.745608244504446,5,339,56.51903161383
38.29857625688364,30.562842711402105,3,19.58054872321984,18,1357,68.94001685361721
41.294726601401955,20.180665936855956,5,14.645312081159744,10,1725,54.29929652737175
57.50506323480307,99.24996719843637,5,4.086354383924153,23,630,50.771120941993374
24.46080913316242,12.165770246035045,0,4.0772633654945345,11,1539,9.335553200652708
55.51186481448569,71.53382293739712,8,4.4754006728255415,17,2045,69.86549502655743
18.93479849759437,3.7528086313547426,5,18.91062970631385,31,486,54.24131644180339
19.805638124722208,3.078878933580398,10,11.141570812070487,31,341,62.393530292155795
55.519174848218164,21.10922867848113,10,5.92522870194957,28,982,70.51385457457675
12.459463880402238,60.11342470204014,7,7.461344149796529,11,588,51.848682336496424
34.21432404005676,54.0783226356881,10,19.964505930282535,10,549,71.77617828286273
51.384862087959426,84.47151477310042,8,2.6493614367436895,25,838,62.44471516459811
52.467642389273145,56.16276242981295,4,10.139552358359047,2,1588,34.45287431497743
20.92485112865377,0.9103406217130905,9,14.13263265531807,11,1738,72.2008352347797
50.376317417815066,43.19760584497448,1,10.923233227403514,26,1690,61.63620797020594
53.97322120785408,21.995046529505146,3,15.524482695762558,6,1280,31.32181201624667
31.058084926930224,29.615042230927724,9,17.947615132596873,6,1125,63.03764866068843
34.96535716203874,12.72822518804576,1,4.781581573760555,18,383,10.842067374559678
16.24220761210449,11.40125938595462,5,19.702577372132975,28,1954,169.68069079588972
5.2547612652531575,20.396743675693475,6,12.449584368931568,30,1723,170.3794813749301
8.14488099916466,68.20863803221492,0,2.6018169815091428,10,1299,17.02148786542336
34.14445466927542,66.57527107652149,2,15.333319777083247,21,154,28.27384983121302
12.024933554272117,57.44799602042552,4,11.596108259241076,31,1238,75.99314348140051
44.40280921189301,36.6269453033824,4,11.059321828420698,29,2019,92.0788242982625
47.44791937567295,58.86546577778373,6,14.539841113964131,17,1766,85.42460414789987
47.87444802263116,84.5992635226795,3,5.229350925076714,24,1237,47.444749730903645
54.84277507569136,2.2527686217655662,0,14.430427991312708,30,1639,71.4049681576377
56.17893003895832,92.45225916156336,0,9.269332700809981,27,1653,59.8604106092977
12.097936258017336,59.72061417011481,8,4.090917255850855,10,1942,59.888684144885325
32.06009511876455,74.60690260345551,10,10.162831896765821,7,1602,76.3179802097243
41.91012363972868,48.134047476786,9,8.890125111905732,21,402,62.13185311482802
33.42843706855227,68.60951997980908,1,4.5779633094973144,2,1402,20.005564907944866
48.860546970494276,8.060342211948479,4,6.08014329465732,32,1962,59.78564010356622
10.55037694028912,20.988324095129364,2,6.10460370748477,5,1349,18.31522001972435
34.819788793537924,46.41616751792817,1,15.615016511683658,8,1634,34.69518308765851
34.60411966410186,14.139169705474474,3,10.739935875694965,4,1358,23.6617671087724
27.452200242352763,98.62995006735065,8,15.69283829699543,3,1178,65.27183906762832
9.323416558905057,74.43031905404871,8,3.580379573845282,7,1754,59.28205385157698
17.280351981282106,20.391733947244827,0,11.698466191450377,1,1443,5.766435460875255
11.071682883746359,17.05062049977536,5,7.716733435279864,6,1279,34.33194533818884
8.853061334405258,86.89273469492244,3,19.144205428854182,30,1302,210.06725428857817
28.815585507471976,28.41318199895343,3,10.402706664969505,19,1342,47.207457854129935
26.22548876778125,48.61083619859495,9,10.351657718539983,28,539,70.34488906853954
48.28445458616539,28.942301829800854,0,5.440220661001907,5,794,7.948227968377928
49.91350630805913,47.674665435530386,6,14.558284544804058,1,1924,42.335947033526374
26.28568218032425,41.37569865650447,4,18.167422529072244,7,1305,44.871080211608394
51.11654798112033,18.951867383388652,2,14.856434226286456,20,1373,54.58614186206034
35.748725018508054,86.1275490100843,5,12.315898420430466,14,1937,75.6237631385402
48.86821611883621,88.64265399510639,4,15.862910459003867,17,1212,70.41247150875284
27.97168476993471,32.67730237570665,6,4.309757684673223,16,521,40.12807448108494
32.61350513189096,25.152816797829836,10,18.024988611261,3,1837,64.9641345832319
38.91233109391855,97.72768052801332,3,15.947644635923094,13,1433,64.2544032978638
48.19108671352488,41.22598840630881,7,8.226660650183016,13,506,48.65669505695215
30.26108494438062,14.526976238405542,4,17.664307592790887,4,1428,32.99524774468326
11.654856041762862,45.41740710896066,2,3.3751857302478405,5,205,19.429437959142536
48.10867513390523,70.59643581580445,5,17.362921927442315,21,95,42.58319008768564
9.34208306601421,92.4551548065956,3,13.121320421263514,12,330,76.47944740063252
38.539701885146435,42.210557628126935,6,6.4449296264172204,1,233,38.592278385920906
51.30058272170496,74.69295110947567,6,16.92270711669798,13,1601,80.15982054387865
51.60814881946607,75.95474083951754,2,2.73497658903782,9,400,26.175539739957124
51.26260004880167,56.41809653258891,0,16.434634350524906,31,990,61.721512128278725
49.219680512911275,0.5719971994782247,4,8.733435934480838,4,816,22.964992928910192
38.526971296698036,70.79107226828931,4,12.71768157244078,4,1704,42.8265862134335
9.39533101406337,20.903917828650474,8,16.379419102117005,19,1112,148.62810112521925
10.17900948690564,60.62166253149008,7,16.521659286472534,16,2047,164.66256899702182
48.42368912628722,78.8907995964669,7,5.9095153167162655,24,408,56.56475731742194
17.729473260126923,74.43796392486854,2,14.897259231432463,25,824,55.575946801724584
21.87250132440578,31.594459829622668,4,10.138260037706294,15,1300,46.08849903945181
17.098911269399984,82.60378099003624,5,16.228948393647865,14,317,48.723163495108174
12.082312374497096,44.62141171212926,7,8.421352046195992,20,1103,62.50178495633421
28.575926981874762,12.635760892156188,4,8.984709735623866,2,1722,25.621486211380095
35.54282932320725,3.2744887464050354,0,19.229702732738687,2,787,3.6816529594140768
57.4822341124255,66.6514061811868,3,16.862374224183036,11,173,31.539191051099394
17.25431723794671,21.878121844750897,10,10.43022461593857,1,1795,56.24784968751115
42.22517143715676,66.80961820848626,5,10.28804128562637,17,1471,64.08922848466312
59.27265785620567,34.6901767343339,4,6.20036083184772,12,1961,41.52872445637084
23.83613705524673,77.73236830635568,4,16.895147796088963,3,1339,42.333254530960076
26.611944165534794,67.0167561752145,6,10.866472970155078,26,455,56.25838875873635
29.96631289586447,43.77102771450807,3,17.384815427150286,14,689,40.523598503930785
9.492683007263421,57.24281135131246,9,17.69516650549975,20,1280,183.77302350670513
39.30167995411437,51.87690010361763,8,13.81316595795819,23,749,74.1713210164981
45.0212025054762,62.122269240799014,2,5.927299018939398,19,1084,34.632318907567395
44.711032621049185,10.897012622629976,7,19.250510975631634,18,2046,108.07518434558219
15.612865919252195,51.226240675709164,9,19.807615226199594,26,1047,151.11303137337637
21.790748557055664,24.03816449308347,7,10.529122059529772,28,1203,75.27392764393677
34.56347553200207,47.74604663969747,9,2.260613912281565,21,613,57.459297617219555
15.352770987297507,64.72011120998282,9,2.900541887173382,17,1151,63.61951255262872
56.27467861565347,54.56226704794241,10,4.1955304844884225,6,1235,64.02134149859441
28.56366608191994,98.55871611137198,3,6.976759203335323,22,238,38.36477434114077
19.57755355787522,20.900532340417534,6,6.127850271705865,24,1042,49.504634427565534
34.28641137733236,74.54868679260568,3,8.431673738908653,2,1227,31.97887009404932
11.637865731543224,15.160541670749906,6,11.225421372909306,17,1707,65.6071586161955
42.84250563907709,13.750484248778816,8,3.830174021314433,31,673,50.740988910424065
53.99357945551891,97.90531642145766,6,8.385784381309401,9,1681,62.26791647477452
13.585774870057016,55.000696844066645,0,8.754163739055992,1,1772,12.55137718337405
44.76689369679376,42.98864184141692,6,7.198439927188179,1,113,38.67907073946061
19.323186269405014,62.816381223399084,4,14.410669912691008,4,1210,39.53804048242227
13.401273741718912,50.777274898771765,1,12.483959558590279,8,309,18.24148978263787
26.303905681191903,69.36742541712748,6,18.680376236055555,25,1043,92.58256611894035
36.32639966980802,42.167329775194005,6,5.727141565194454,17,1752,55.49118439281396
48.03788597272466,16.22141230365377,4,8.319103943904778,19,283,27.717464651368356
57.87108153304639,5.327999546815643,5,10.442134841755704,18,1492,54.10899724038225
14.562713382970884,90.58307411628353,0,2.232167418151537,16,1836,24.67382983081866
33.8666594999086,30.44777518121846,9,3.2072188414801053,10,748,53.48855472967082
52.343718942309366,86.38650496690433,9,2.618782031699106,23,1723,72.65527230680125
14.86478292526813,14.40437532295743,2,15.182346929897447,27,1726,86.80928827359274
